,0
0,0.01
1,0.01
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.01
8,0.01
9,0.01
10,0.01
11,0.01
12,0.01
13,0.01
14,0.01
15,0.01
16,0.01
17,0.01
18,0.01
19,0.01
20,0.01
21,0.01
22,0.01
23,0.01
24,0.01
25,0.01
26,0.01
27,0.01
28,0.01
29,0.01
30,0.01
31,0.01
32,0.01
33,0.01
34,0.01
35,0.01
36,0.01
37,0.01
38,0.01
39,0.01
40,0.01
41,0.01
42,0.01
43,0.01
44,0.01
45,0.01
46,0.01
47,0.01
48,0.01
49,0.01
50,0.01
51,0.01
52,0.01
53,0.01
54,0.01
55,0.01
56,0.01
57,0.01
58,0.01
59,0.01
60,0.01
61,0.01
62,0.01
63,0.01
64,0.01
65,0.01
66,0.01
67,0.01
68,0.01
69,0.01
70,0.01
71,0.01
72,0.01
73,0.01
74,0.01
75,0.01
76,0.01
77,0.01
78,0.01
79,0.01
80,0.01
81,0.01
82,0.01
83,0.01
84,0.01
85,0.01
86,0.01
87,0.01
88,0.01
89,0.01
90,0.01
91,0.01
92,0.01
93,0.01
94,0.01
95,0.01
96,0.01
97,0.01
98,0.01
99,0.01
100,0.01
101,0.01
102,0.01
103,0.01
104,0.01
105,0.01
106,0.01
107,0.01
108,0.01
109,0.01
110,0.01
111,0.01
112,0.01
113,0.01
114,0.01
115,0.01
116,0.01
117,0.01
118,0.01
119,0.01
120,0.01
121,0.01
122,0.01
123,0.12529411764705883
124,0.22905882352941176
125,0.32129411764705884
126,0.32129411764705884
127,0.3520392156862745
128,0.3789411764705882
129,0.39431372549019605
130,0.3789411764705882
131,0.2636470588235294
132,0.14835294117647058
133,0.01
134,0.01
135,0.01
136,0.01
137,0.01
138,0.01
139,0.01
140,0.01
141,0.01
142,0.01
143,0.01
144,0.01
145,0.01
146,0.01
147,0.01
148,0.01
149,0.22905882352941176
150,0.5518823529411765
151,0.7863137254901961
152,0.8823921568627451
153,0.8977647058823529
154,0.8977647058823529
155,0.9054509803921569
156,0.9169803921568627
157,0.8977647058823529
158,0.8670196078431373
159,0.7325098039215686
160,0.3558823529411765
161,0.01
162,0.01
163,0.01
164,0.01
165,0.01
166,0.01
167,0.01
168,0.01
169,0.01
170,0.01
171,0.01
172,0.01
173,0.01
174,0.01
175,0.01
176,0.01
177,0.5518823529411765
178,0.9515686274509804
179,0.99
180,0.986156862745098
181,0.982313725490196
182,0.99
183,0.99
184,0.9707843137254901
185,0.9630980392156863
186,0.8977647058823529
187,0.7786274509803921
188,0.3558823529411765
189,0.01
190,0.01
191,0.01
192,0.01
193,0.01
194,0.01
195,0.01
196,0.01
197,0.01
198,0.01
199,0.01
200,0.01
201,0.01
202,0.01
203,0.01
204,0.30207843137254903
205,0.8285882352941176
206,0.99
207,0.99
208,0.99
209,0.9592549019607842
210,0.8132156862745098
211,0.7171372549019608
212,0.6902352941176471
213,0.6172156862745097
214,0.5710980392156862
215,0.38662745098039214
216,0.20984313725490195
217,0.01
218,0.01
219,0.01
220,0.01
221,0.01
222,0.01
223,0.01
224,0.01
225,0.01
226,0.01
227,0.01
228,0.01
229,0.01
230,0.01
