,0
0,0.01
1,0.01
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.01
8,0.01
9,0.01
10,0.01
11,0.01
12,0.01
13,0.01
14,0.01
15,0.01
16,0.01
17,0.01
18,0.01
19,0.01
20,0.01
21,0.01
22,0.01
23,0.01
24,0.01
25,0.01
26,0.01
27,0.01
28,0.01
29,0.01
30,0.01
31,0.01
32,0.01
33,0.01
34,0.01
35,0.01
36,0.01
37,0.01
38,0.01
39,0.01
40,0.01
41,0.01
42,0.01
43,0.01
44,0.01
45,0.01
46,0.01
47,0.01
48,0.01
49,0.01
50,0.01
51,0.01
52,0.01
53,0.01
54,0.01
55,0.01
56,0.01
57,0.01
58,0.01
59,0.01
60,0.01
61,0.01
62,0.01
63,0.01
64,0.01
65,0.01
66,0.01
67,0.01
68,0.01
69,0.01
70,0.01
71,0.01
72,0.01
73,0.01
74,0.01
75,0.01
76,0.01
77,0.01
78,0.01
79,0.01
80,0.01
81,0.01
82,0.01
83,0.01
84,0.01
85,0.01
86,0.01
87,0.01
88,0.24827450980392157
89,0.5518823529411765
90,0.5595686274509803
91,0.5134509803921569
92,0.04843137254901961
93,0.01
94,0.01
95,0.01
96,0.40584313725490195
97,0.5749411764705882
98,0.5749411764705882
99,0.40584313725490195
100,0.01
101,0.01
102,0.01
103,0.01
104,0.01
105,0.01
106,0.01
107,0.01
108,0.01
109,0.01
110,0.01
111,0.01
112,0.01
113,0.01
114,0.01
115,0.01
116,0.4673333333333333
117,0.8977647058823529
118,0.9515686274509804
119,0.8593333333333333
120,0.09454901960784313
121,0.01
122,0.01
123,0.01
124,0.5634117647058823
125,0.8747058823529411
126,0.8747058823529411
127,0.5634117647058823
128,0.01
129,0.01
130,0.01
131,0.01
132,0.01
133,0.01
134,0.01
135,0.01
136,0.01
137,0.01
138,0.01
139,0.01
140,0.01
141,0.01
142,0.01
143,0.01
144,0.5518823529411765
145,0.9592549019607842
146,0.986156862745098
147,0.9323529411764706
148,0.13298039215686275
149,0.01
150,0.01
151,0.01
152,0.7209803921568627
153,0.9477254901960784
154,0.9477254901960784
155,0.7209803921568627
156,0.01
157,0.01
158,0.01
159,0.01
160,0.01
161,0.01
162,0.01
163,0.01
164,0.01
165,0.01
166,0.01
167,0.01
168,0.01
169,0.01
170,0.01
171,0.01
172,0.5134509803921569
173,0.9630980392156863
174,0.986156862745098
175,0.9515686274509804
176,0.14066666666666666
177,0.01
178,0.01
179,0.01
180,0.7594117647058823
181,0.9669411764705882
182,0.9669411764705882
183,0.7594117647058823
184,0.01
185,0.01
186,0.01
187,0.01
188,0.01
189,0.01
190,0.01
191,0.01
192,0.01
193,0.01
194,0.01
195,0.01
196,0.01
197,0.01
198,0.01
199,0.01
200,0.34819607843137257
201,0.9361960784313725
202,0.99
203,0.9477254901960784
204,0.3674117647058823
205,0.01
206,0.01
207,0.01
208,0.797843137254902
209,0.9746274509803922
210,0.9746274509803922
211,0.797843137254902
212,0.01
213,0.01
214,0.01
215,0.01
216,0.01
217,0.01
218,0.01
219,0.01
220,0.01
221,0.01
222,0.01
223,0.01
224,0.01
225,0.01
226,0.01
227,0.01
228,0.01
